1,ssd,550
2,sas,1500
3,sata,1700
3,sas,750
3,sas,50
3,ssd,850
4,sata,1800
4,sata,1150
4,sata,1950
5,sas,1600
6,sata,650
6,sas,1150
7,sas,1950
8,ssd,2000
8,sata,1500
8,sas,600
9,sas,300
9,ssd,300
9,sata,1300
9,sata,50
10,ssd,100
10,sas,850
10,sas,1850
12,ssd,1850
12,ssd,900
12,sas,300
12,sas,650
13,ssd,1050
13,sata,1150
13,sas,250
14,sata,1650
14,sata,1000
14,ssd,1700
15,sas,1600
16,ssd,1300
16,sata,700
16,sas,100
16,ssd,1100
17,sas,1750
17,ssd,1250
18,ssd,850
18,sata,1950
18,sas,1900
19,sas,1800
19,sas,1250
19,ssd,1000
19,sata,700
20,sata,550
20,sata,950
22,sata,200
23,ssd,1950
25,sata,100
25,sata,450
25,sas,1150
26,sata,1100
26,sata,300
26,ssd,1300
26,ssd,850
27,sata,500
27,sata,450
27,sas,2000
29,sata,1900
29,sas,700
29,ssd,1650
29,ssd,800
31,sas,700
31,ssd,1750
32,sas,1450
33,sata,1600
33,sata,600
33,sas,1200
34,sas,300
34,ssd,50
34,sata,650
34,sata,250
35,sata,1950
35,ssd,1150
36,sata,1900
36,sas,1100
36,sata,1600
36,ssd,1200
37,ssd,600
37,ssd,1100
37,sata,650
39,ssd,1450
39,ssd,1200
40,sata,1650
40,sas,1650
40,sata,700
40,ssd,1050
41,ssd,1550
41,sas,1500
42,sata,550
42,sas,1550
42,ssd,1850
43,sas,1250
43,ssd,1500
44,ssd,50
44,ssd,1200
44,sas,1000
45,sata,1050
45,sata,1400
46,ssd,100
46,sas,950
46,ssd,1400
46,ssd,1800
47,sas,50
47,ssd,1000
48,sata,550
48,sata,1450
49,sata,950
49,sas,150
49,sas,700
49,ssd,1450
50,sata,300
51,ssd,750
51,ssd,1050
51,ssd,250
52,sas,1250
52,ssd,1850
53,ssd,900
53,sata,400
54,sata,1750
54,sata,1150
54,ssd,1850
56,ssd,200
56,sata,1900
56,sata,1250
56,ssd,1450
57,sata,450
57,ssd,550
57,sas,1700
58,sas,1850
59,sas,250
59,sata,1750
60,ssd,1750
60,sata,150
60,ssd,1650
60,sas,1050
61,ssd,1650
61,sata,1300
61,sas,1050
61,ssd,1000
62,sas,1050
62,sas,1650
62,sas,1600
63,ssd,450
65,ssd,1450
65,sata,450
66,sata,800
66,sas,700
66,sata,450
66,sata,1350
68,sata,100
68,sata,300
69,ssd,1650
69,ssd,50
69,sas,1950
70,ssd,1900
70,sas,450
72,ssd,300
73,sas,1700
76,sas,2000
76,sata,150
77,sas,900
77,sata,1800
77,ssd,600
78,sas,400
78,ssd,1100
81,ssd,750
82,sata,1000
82,ssd,650
82,sata,650
84,ssd,1350
85,sas,1450
86,ssd,1350
86,sata,1150
86,sata,150
86,ssd,700
87,sata,1000
88,ssd,350
90,sata,900
90,sata,1800
90,ssd,1900
90,ssd,500
92,sas,1300
92,ssd,150
92,sata,550
92,ssd,200
94,sata,1400
94,ssd,950
94,sas,700
95,sata,250
95,sas,1450
96,sas,350
97,sata,1800
98,sas,350
98,sas,1750
98,sata,1450
98,sas,650
